"","data","variables","year","fishing_type","description"
"1",1.62,"percmpatime",2012,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"2",6.30,"percmpatime",2013,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"3",4.87,"percmpatime",2014,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"4",1.75,"percmpatime",2015,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"5",3.34,"percmpatime",2016,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"6",14.86,"percmpatime",2012,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"7",3.59,"percmpatime",2013,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"8",0.19,"percmpatime",2014,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"9",1.36,"percmpatime",2015,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"10",3.87,"percmpatime",2016,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"11",0,"percmpatime",2012,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"12",0.95,"percmpatime",2013,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"13",0.54,"percmpatime",2014,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"14",0.92,"percmpatime",2015,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"15",1.06,"percmpatime",2016,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"16",5.94,"percmpatime",2012,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"17",18.2,"percmpatime",2013,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"18",20.49,"percmpatime",2014,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"19",3.31,"percmpatime",2015,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"20",11.16,"percmpatime",2016,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"21",0.00,"percmpatime",2012,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"22",0.00,"percmpatime",2013,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"23",11.9,"percmpatime",2014,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"24",11.36,"percmpatime",2015,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"25",16.86,"percmpatime",2016,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"26",2.72,"percmpatime",2012,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"27",3.27,"percmpatime",2013,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"28",3.61,"percmpatime",2014,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"29",1.76,"percmpatime",2015,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"30",2.59,"percmpatime",2016,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"31",2.33,"percmpatime",2012,"Trawler","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"32",0.8,"percmpatime",2013,"Trawler","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"33",1.7,"percmpatime",2014,"Trawler","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"34",2.01,"percmpatime",2015,"Trawler","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"35",2.1,"percmpatime",2016,"Trawler","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"36",1.88,"percmpaarea",2012,"Drifting Longlines","How many percentages of MPA are under fishery?"
"37",5.06,"percmpaarea",2013,"Drifting Longlines","How many percentages of MPA are under fishery?"
"38",5.68,"percmpaarea",2014,"Drifting Longlines","How many percentages of MPA are under fishery?"
"39",6.35,"percmpaarea",2015,"Drifting Longlines","How many percentages of MPA are under fishery?"
"40",13.6,"percmpaarea",2016,"Drifting Longlines","How many percentages of MPA are under fishery?"
"41",0.33,"percmpaarea",2012,"Fixed Gear","How many percentages of MPA are under fishery?"
"42",0.51,"percmpaarea",2013,"Fixed Gear","How many percentages of MPA are under fishery?"
"43",0.34,"percmpaarea",2014,"Fixed Gear","How many percentages of MPA are under fishery?"
"44",0.97,"percmpaarea",2015,"Fixed Gear","How many percentages of MPA are under fishery?"
"45",3.34,"percmpaarea",2016,"Fixed Gear","How many percentages of MPA are under fishery?"
"46",0.07,"percmpaarea",2012,"Others","How many percentages of MPA are under fishery?"
"47",0.96,"percmpaarea",2013,"Others","How many percentages of MPA are under fishery?"
"48",1.42,"percmpaarea",2014,"Others","How many percentages of MPA are under fishery?"
"49",2.08,"percmpaarea",2015,"Others","How many percentages of MPA are under fishery?"
"50",4.03,"percmpaarea",2016,"Others","How many percentages of MPA are under fishery?"
"51",1.17,"percmpaarea",2012,"Purse Seines","How many percentages of MPA are under fishery?"
"52",2.8,"percmpaarea",2013,"Purse Seines","How many percentages of MPA are under fishery?"
"53",3.1,"percmpaarea",2014,"Purse Seines","How many percentages of MPA are under fishery?"
"54",3.45,"percmpaarea",2015,"Purse Seines","How many percentages of MPA are under fishery?"
"55",6.54,"percmpaarea",2016,"Purse Seines","How many percentages of MPA are under fishery?"
"56",0.62,"percmpaarea",2012,"Squid Jigger","How many percentages of MPA are under fishery?"
"57",1.21,"percmpaarea",2013,"Squid Jigger","How many percentages of MPA are under fishery?"
"58",1.46,"percmpaarea",2014,"Squid Jigger","How many percentages of MPA are under fishery?"
"59",2.03,"percmpaarea",2015,"Squid Jigger","How many percentages of MPA are under fishery?"
"60",3.09,"percmpaarea",2016,"Squid Jigger","How many percentages of MPA are under fishery?"
"61",3.97,"percmpaarea",2012,"All Fishing Types","How many percentages of MPA are under fishery?"
"62",8.01,"percmpaarea",2013,"All Fishing Types","How many percentages of MPA are under fishery?"
"63",9.81,"percmpaarea",2014,"All Fishing Types","How many percentages of MPA are under fishery?"
"64",12.61,"percmpaarea",2015,"All Fishing Types","How many percentages of MPA are under fishery?"
"65",29.2,"percmpaarea",2016,"All Fishing Types","How many percentages of MPA are under fishery?"
"66",1.15,"percmpaarea",2012,"Trawler","How many percentages of MPA are under fishery?"
"67",2.23,"percmpaarea",2013,"Trawler","How many percentages of MPA are under fishery?"
"68",4.05,"percmpaarea",2014,"Trawler","How many percentages of MPA are under fishery?"
"69",6.49,"percmpaarea",2015,"Trawler","How many percentages of MPA are under fishery?"
"70",17.41,"percmpaarea",2016,"Trawler","How many percentages of MPA are under fishery?"
"71",6047.86,"totaltime",2012,"Drifting Longlines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"72",15117.25,"totaltime",2013,"Drifting Longlines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"73",28258.28,"totaltime",2014,"Drifting Longlines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"74",50563.64,"totaltime",2015,"Drifting Longlines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"75",56803.52,"totaltime",2016,"Drifting Longlines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"76",861.59,"totaltime",2012,"Fixed Gear","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"77",3229.66,"totaltime",2013,"Fixed Gear","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"78",291.58,"totaltime",2014,"Fixed Gear","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"79",5754.34,"totaltime",2015,"Fixed Gear","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"80",11987.46,"totaltime",2016,"Fixed Gear","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"81",538.46,"totaltime",2012,"Others","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"82",3075.93,"totaltime",2013,"Others","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"83",15849.8,"totaltime",2014,"Others","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"84",39235.2,"totaltime",2015,"Others","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"85",39942.15,"totaltime",2016,"Others","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"86",91.03,"totaltime",2012,"Purse Seines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"87",2650.7,"totaltime",2013,"Purse Seines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"88",5806.18,"totaltime",2014,"Purse Seines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"89",8378.75,"totaltime",2015,"Purse Seines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"90",12022.63,"totaltime",2016,"Purse Seines","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"91",0,"totaltime",2012,"Squid Jigger","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"92",21.01,"totaltime",2013,"Squid Jigger","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"93",52.29,"totaltime",2014,"Squid Jigger","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"94",54.94,"totaltime",2015,"Squid Jigger","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"95",29.93,"totaltime",2016,"Squid Jigger","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"96",14197.59,"totaltime",2012,"All Fishing Types","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"97",56167.47,"totaltime",2013,"All Fishing Types","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"98",94581.8,"totaltime",2014,"All Fishing Types","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"99",194429.47,"totaltime",2015,"All Fishing Types","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"100",324456.83,"totaltime",2016,"All Fishing Types","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"101",6658.65,"totaltime",2012,"Trawler","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"102",32072.92,"totaltime",2013,"Trawler","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"103",44323.67,"totaltime",2014,"Trawler","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"104",90442.59,"totaltime",2015,"Trawler","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"105",203671.14,"totaltime",2016,"Trawler","Total Fishing Hours in Exclusive Economic Zone (EEZ)"
"106",97.99,"mpatime",2012,"Drifting Longlines","Total Fishing Hours in Marine Protected Area (MPA)"
"107",951.98,"mpatime",2013,"Drifting Longlines","Total Fishing Hours in Marine Protected Area (MPA)"
"108",1375.8,"mpatime",2014,"Drifting Longlines","Total Fishing Hours in Marine Protected Area (MPA)"
"109",885.42,"mpatime",2015,"Drifting Longlines","Total Fishing Hours in Marine Protected Area (MPA)"
"110",1895.43,"mpatime",2016,"Drifting Longlines","Total Fishing Hours in Marine Protected Area (MPA)"
"111",128.05,"mpatime",2012,"Fixed Gear","Total Fishing Hours in Marine Protected Area (MPA)"
"112",115.96,"mpatime",2013,"Fixed Gear","Total Fishing Hours in Marine Protected Area (MPA)"
"113",0.55,"mpatime",2014,"Fixed Gear","Total Fishing Hours in Marine Protected Area (MPA)"
"114",78.2,"mpatime",2015,"Fixed Gear","Total Fishing Hours in Marine Protected Area (MPA)"
"115",463.6,"mpatime",2016,"Fixed Gear","Total Fishing Hours in Marine Protected Area (MPA)"
"116",0.00,"mpatime",2012,"Others","Total Fishing Hours in Marine Protected Area (MPA)"
"117",29.37,"mpatime",2013,"Others","Total Fishing Hours in Marine Protected Area (MPA)"
"118",85.72,"mpatime",2014,"Others","Total Fishing Hours in Marine Protected Area (MPA)"
"119",362.18,"mpatime",2015,"Others","Total Fishing Hours in Marine Protected Area (MPA)"
"120",422.23,"mpatime",2016,"Others","Total Fishing Hours in Marine Protected Area (MPA)"
"121",5.41,"mpatime",2012,"Purse Seines","Total Fishing Hours in Marine Protected Area (MPA)"
"122",482.52,"mpatime",2013,"Purse Seines","Total Fishing Hours in Marine Protected Area (MPA)"
"123",1189.92,"mpatime",2014,"Purse Seines","Total Fishing Hours in Marine Protected Area (MPA)"
"124",277.15,"mpatime",2015,"Purse Seines","Total Fishing Hours in Marine Protected Area (MPA)"
"125",1341.37,"mpatime",2016,"Purse Seines","Total Fishing Hours in Marine Protected Area (MPA)"
"126",0.00,"mpatime",2012,"Squid Jigger","Total Fishing Hours in Marine Protected Area (MPA)"
"127",0.00,"mpatime",2013,"Squid Jigger","Total Fishing Hours in Marine Protected Area (MPA)"
"128",6.22,"mpatime",2014,"Squid Jigger","Total Fishing Hours in Marine Protected Area (MPA)"
"129",6.24,"mpatime",2015,"Squid Jigger","Total Fishing Hours in Marine Protected Area (MPA)"
"130",5.05,"mpatime",2016,"Squid Jigger","Total Fishing Hours in Marine Protected Area (MPA)"
"131",386.69,"mpatime",2012,"All Fishing Types","Total Fishing Hours in Marine Protected Area (MPA)"
"132",1837.18,"mpatime",2013,"All Fishing Types","Total Fishing Hours in Marine Protected Area (MPA)"
"133",3410.48,"mpatime",2014,"All Fishing Types","Total Fishing Hours in Marine Protected Area (MPA)"
"134",3429.03,"mpatime",2015,"All Fishing Types","Total Fishing Hours in Marine Protected Area (MPA)"
"135",8397.66,"mpatime",2016,"All Fishing Types","Total Fishing Hours in Marine Protected Area (MPA)"
"136",155.23,"mpatime",2012,"Trawler","Total Fishing Hours in Marine Protected Area (MPA)"
"137",257.36,"mpatime",2013,"Trawler","Total Fishing Hours in Marine Protected Area (MPA)"
"138",752.27,"mpatime",2014,"Trawler","Total Fishing Hours in Marine Protected Area (MPA)"
"139",1819.84,"mpatime",2015,"Trawler","Total Fishing Hours in Marine Protected Area (MPA)"
"140",4269.99,"mpatime",2016,"Trawler","Total Fishing Hours in Marine Protected Area (MPA)"
